GPU Devices:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
{'loss': 0.0022, 'grad_norm': 0.015939610078930855, 'learning_rate': 1.7281553398058253e-05, 'epoch': 0.41}
{'loss': 0.0439, 'grad_norm': 0.00627885339781642, 'learning_rate': 1.7263060564031438e-05, 'epoch': 0.41}
{'loss': 0.015, 'grad_norm': 0.004282461013644934, 'learning_rate': 1.7244567730004623e-05, 'epoch': 0.41}
{'loss': 0.0015, 'grad_norm': 0.027903733775019646, 'learning_rate': 1.7226074895977807e-05, 'epoch': 0.42}
{'loss': 0.0127, 'grad_norm': 0.0030791517347097397, 'learning_rate': 1.7207582061950995e-05, 'epoch': 0.42}
{'loss': 0.0392, 'grad_norm': 0.010180016979575157, 'learning_rate': 1.718908922792418e-05, 'epoch': 0.42}
{'loss': 0.0401, 'grad_norm': 32.16499710083008, 'learning_rate': 1.7170596393897365e-05, 'epoch': 0.42}
{'loss': 0.0476, 'grad_norm': 0.1865043044090271, 'learning_rate': 1.7152103559870553e-05, 'epoch': 0.43}
{'loss': 0.1144, 'grad_norm': 0.05343553423881531, 'learning_rate': 1.7133610725843738e-05, 'epoch': 0.43}
{'loss': 0.0013, 'grad_norm': 0.9106347560882568, 'learning_rate': 1.7115117891816922e-05, 'epoch': 0.43}
{'loss': 0.0231, 'grad_norm': 0.30471858382225037, 'learning_rate': 1.7096625057790107e-05, 'epoch': 0.44}
{'loss': 0.0004, 'grad_norm': 0.004223919939249754, 'learning_rate': 1.707813222376329e-05, 'epoch': 0.44}
{'loss': 0.0407, 'grad_norm': 0.03105868771672249, 'learning_rate': 1.7059639389736476e-05, 'epoch': 0.44}
{'loss': 0.0011, 'grad_norm': 0.3186964690685272, 'learning_rate': 1.7041146555709664e-05, 'epoch': 0.44}
{'loss': 0.0886, 'grad_norm': 0.014115331694483757, 'learning_rate': 1.702265372168285e-05, 'epoch': 0.45}
{'loss': 0.0516, 'grad_norm': 0.013884078711271286, 'learning_rate': 1.7004160887656034e-05, 'epoch': 0.45}
{'loss': 0.0272, 'grad_norm': 0.02943575009703636, 'learning_rate': 1.6985668053629222e-05, 'epoch': 0.45}
{'loss': 0.0013, 'grad_norm': 0.10980921983718872, 'learning_rate': 1.6967175219602406e-05, 'epoch': 0.45}
{'loss': 0.0019, 'grad_norm': 0.009970000013709068, 'learning_rate': 1.694868238557559e-05, 'epoch': 0.46}
{'loss': 0.0004, 'grad_norm': 0.06674748659133911, 'learning_rate': 1.6930189551548776e-05, 'epoch': 0.46}
